iter	Passed	Remaining
0	66	66813
1	67	33764
2	68	22694
3	68	17155
4	69	13832
5	70	11621
6	70	10035
7	71	8850
8	71	7922
9	72	7189
10	73	6584
11	73	6076
12	74	5647
13	74	5280
14	75	4964
15	76	4690
16	76	4443
17	77	4222
18	78	4033
19	78	3858
20	79	3698
21	79	3553
22	80	3421
23	81	3298
24	81	3185
25	82	3080
26	82	2983
27	83	2893
28	83	2811
29	84	2735
30	85	2666
31	85	2600
32	86	2537
33	87	2480
34	87	2425
35	88	2373
36	89	2326
37	90	2279
38	90	2240
39	91	2199
40	92	2160
41	92	2120
42	93	2085
43	94	2050
44	94	2015
45	95	1983
46	96	1954
47	97	1924
48	97	1896
49	98	1870
50	99	1844
51	99	1820
52	100	1797
53	101	1773
54	101	1752
55	102	1730
56	103	1708
57	103	1688
58	104	1668
59	105	1648
60	105	1629
61	106	1610
62	107	1594
63	107	1577
64	108	1562
65	109	1546
66	110	1532
67	110	1516
68	111	1501
69	111	1485
70	112	1470
71	112	1455
72	113	1442
73	114	1428
74	114	1417
75	115	1405
76	116	1393
77	117	1383
78	117	1373
79	118	1363
80	119	1352
81	119	1343
82	120	1329
83	121	1323
84	122	1315
85	123	1307
86	123	1298
87	124	1290
88	125	1281
89	125	1272
90	126	1262
91	126	1253
92	127	1244
93	128	1235
94	128	1227
95	129	1218
96	130	1210
97	130	1202
98	131	1194
99	131	1186
100	132	1179
101	133	1172
102	133	1164
103	134	1157
104	135	1151
105	135	1143
106	137	1143
107	137	1137
108	138	1130
109	138	1124
110	139	1119
111	140	1113
112	141	1107
113	141	1103
114	142	1097
115	143	1092
116	143	1086
117	144	1080
118	145	1074
119	145	1069
120	146	1063
121	146	1056
122	147	1051
123	148	1045
124	148	1040
125	149	1036
126	149	1030
127	150	1025
128	151	1021
129	152	1017
130	152	1013
131	153	1009
132	154	1005
133	155	1002
134	155	998
135	156	994
136	157	990
137	158	987
138	158	983
139	159	979
140	160	977
141	160	971
142	161	967
143	162	963
144	162	960
145	163	957
146	164	953
147	165	950
148	165	946
149	166	943
150	167	940
151	167	936
152	168	933
153	169	930
154	170	927
155	170	924
156	171	920
157	172	917
158	173	915
159	173	912
160	174	908
161	175	907
162	176	906
163	177	905
164	178	903
165	179	901
166	180	900
167	181	898
168	182	898
169	183	896
170	184	894
171	185	894
172	186	892
173	187	890
174	189	891
175	190	889
176	190	887
177	191	886
178	192	885
179	194	885
180	195	883
181	196	881
182	196	879
183	197	876
184	198	875
185	199	873
186	200	871
187	201	869
188	202	868
189	203	865
190	203	862
191	204	860
192	205	858
193	206	857
194	207	855
195	208	854
196	209	852
197	210	851
198	211	849
199	212	850
200	214	852
201	215	850
202	216	849
203	217	849
204	218	847
205	219	846
206	220	844
207	221	843
208	222	841
209	223	839
210	224	840
211	225	838
212	226	837
213	228	837
214	229	836
215	229	834
216	230	832
217	232	832
218	233	831
219	234	830
220	235	829
221	236	830
222	237	828
223	238	826
224	240	827
225	241	825
226	241	823
227	243	822
228	243	821
229	244	819
230	245	817
231	246	815
232	247	814
233	248	812
234	249	811
235	250	809
236	251	808
237	251	806
238	252	805
239	253	803
240	254	802
241	255	801
242	256	799
243	257	797
244	258	796
245	259	794
246	260	792
247	261	791
248	261	790
249	263	789
250	263	787
251	264	786
252	265	785
253	266	783
254	267	781
255	268	779
256	269	778
257	270	777
258	271	776
259	272	774
260	273	773
261	273	771
262	274	770
263	275	768
264	276	767
265	277	765
266	278	763
267	279	762
268	279	760
269	280	758
270	281	757
271	282	755
272	283	754
